GEOID,CTYNAME,RACE,SEX,AGEGRP,YEAR,POPULATION
47007,Bledsoe,2,2,7,2022,3
47007,Bledsoe,2,2,8,2022,4
47007,Bledsoe,2,2,9,2022,2
47007,Bledsoe,2,2,10,2022,3
47007,Bledsoe,2,2,11,2022,5
47007,Bledsoe,2,2,12,2022,3
47007,Bledsoe,2,2,13,2022,5
47007,Bledsoe,2,2,14,2022,5
47007,Bledsoe,2,2,15,2022,6
47007,Bledsoe,2,2,16,2022,2
47007,Bledsoe,2,2,17,2022,4
47007,Bledsoe,2,2,18,2022,0
47007,Bledsoe,3,1,1,2022,12
47007,Bledsoe,3,1,2,2022,25
47007,Bledsoe,3,1,3,2022,21
47007,Bledsoe,3,1,4,2022,21
47007,Bledsoe,3,1,5,2022,28
47007,Bledsoe,3,1,6,2022,35
47007,Bledsoe,3,1,7,2022,39
47007,Bledsoe,3,1,8,2022,38
47007,Bledsoe,3,1,9,2022,20
47007,Bledsoe,3,1,10,2022,13
47007,Bledsoe,3,1,11,2022,18
47007,Bledsoe,3,1,12,2022,8
47007,Bledsoe,3,1,13,2022,20
47007,Bledsoe,3,1,14,2022,12
47007,Bledsoe,3,1,15,2022,3
47007,Bledsoe,3,1,16,2022,2
47007,Bledsoe,3,1,17,2022,2
47007,Bledsoe,3,1,18,2022,3
47007,Bledsoe,3,2,1,2022,14
47007,Bledsoe,3,2,2,2022,18
47007,Bledsoe,3,2,3,2022,15
47007,Bledsoe,3,2,4,2022,18
47007,Bledsoe,3,2,5,2022,18
47007,Bledsoe,3,2,6,2022,10
47007,Bledsoe,3,2,7,2022,11
47007,Bledsoe,3,2,8,2022,18
47007,Bledsoe,3,2,9,2022,13
47007,Bledsoe,3,2,10,2022,10
47007,Bledsoe,3,2,11,2022,13
47007,Bledsoe,3,2,12,2022,18
47007,Bledsoe,3,2,13,2022,8
47007,Bledsoe,3,2,14,2022,8
47007,Bledsoe,3,2,15,2022,8
47007,Bledsoe,3,2,16,2022,4
47007,Bledsoe,3,2,17,2022,1
47007,Bledsoe,3,2,18,2022,3
47007,Bledsoe,4,1,1,2022,21
47007,Bledsoe,4,1,2,2022,13
47007,Bledsoe,4,1,3,2022,26
47007,Bledsoe,4,1,4,2022,20
47007,Bledsoe,4,1,5,2022,12
47007,Bledsoe,4,1,6,2022,12
47007,Bledsoe,4,1,7,2022,9
47007,Bledsoe,4,1,8,2022,13
47007,Bledsoe,4,1,9,2022,9
47007,Bledsoe,4,1,10,2022,5
47007,Bledsoe,4,1,11,2022,5
47007,Bledsoe,4,1,12,2022,8
47007,Bledsoe,4,1,13,2022,12
47007,Bledsoe,4,1,14,2022,10
47007,Bledsoe,4,1,15,2022,12
47007,Bledsoe,4,1,16,2022,11
47007,Bledsoe,4,1,17,2022,1
47007,Bledsoe,4,1,18,2022,3
47007,Bledsoe,4,2,1,2022,15
47007,Bledsoe,4,2,2,2022,15
47007,Bledsoe,4,2,3,2022,9
47007,Bledsoe,4,2,4,2022,16
47007,Bledsoe,4,2,5,2022,9
47007,Bledsoe,4,2,6,2022,13
47007,Bledsoe,4,2,7,2022,2
47007,Bledsoe,4,2,8,2022,9
47007,Bledsoe,4,2,9,2022,6
47007,Bledsoe,4,2,10,2022,7
47007,Bledsoe,4,2,11,2022,1
47007,Bledsoe,4,2,12,2022,15
47007,Bledsoe,4,2,13,2022,18
47007,Bledsoe,4,2,14,2022,8
47007,Bledsoe,4,2,15,2022,8
47007,Bledsoe,4,2,16,2022,8
47007,Bledsoe,4,2,17,2022,4
47007,Bledsoe,4,2,18,2022,7
47009,Blount,1,1,1,2022,2886
47009,Blount,1,1,2,2022,3249
47009,Blount,1,1,3,2022,3495
47009,Blount,1,1,4,2022,3535
47009,Blount,1,1,5,2022,3405
